kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
linear,4.0,0.2,0.3,0.7861111111111111,0.7581047381546134,0.8421052631578947,0.7979002624671917,0.7859551385427357
linear,4.0,0.3,0.25,0.7833333333333333,0.7518427518427518,0.8476454293628809,0.796875,0.7831541910045603
linear,4.0,0.3,0.3,0.7833333333333333,0.7518427518427518,0.8476454293628809,0.796875,0.7831541910045603
rbf,10.0,0.1,0.1,0.7833333333333333,0.7530864197530864,0.8448753462603878,0.7963446475195823,0.7831619071134809
linear,5.0,0.3,0.3,0.7833333333333333,0.7530864197530864,0.8448753462603878,0.7963446475195823,0.7831619071134809
rbf,9.0,0.1,0.1,0.7833333333333333,0.7530864197530864,0.8448753462603878,0.7963446475195823,0.7831619071134809
linear,5.0,0.3,0.25,0.7833333333333333,0.7530864197530864,0.8448753462603878,0.7963446475195823,0.7831619071134809
linear,7.0,0.1,0.25,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,6.0,0.1,0.2,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,7.0,0.1,0.3,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,6.0,0.1,0.25,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,6.0,0.1,0.3,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,8.0,0.1,0.3,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,7.0,0.1,0.2,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,8.0,0.1,0.2,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
linear,8.0,0.1,0.25,0.7819444444444444,0.75,0.8476454293628809,0.7958387516254878,0.7817614333443931
rbf,5.0,0.1,0.1,0.7833333333333333,0.7556109725685786,0.8393351800554016,0.7952755905511811,0.783177339331322
linear,5.0,0.1,0.15,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,6.0,0.3,0.25,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,6.0,0.3,0.3,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,7.0,0.3,0.25,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,5.0,0.25,0.3,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,7.0,0.3,0.3,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,4.0,0.1,0.15,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,8.0,0.3,0.3,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,8.0,0.3,0.25,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,5.0,0.25,0.25,0.7819444444444444,0.7524752475247525,0.8421052631578947,0.7947712418300654,0.7817768655622342
linear,4.0,0.3,0.15,0.7833333333333333,0.759493670886076,0.8310249307479224,0.7936507936507936,0.7832004876580838
linear,10.0,0.1,0.25,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,9.0,0.1,0.25,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
rbf,7.0,0.1,0.1,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
rbf,8.0,0.1,0.1,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,9.0,0.1,0.3,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,4.0,0.25,0.25,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,10.0,0.1,0.3,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,4.0,0.25,0.3,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
rbf,6.0,0.1,0.1,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,10.0,0.1,0.2,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,9.0,0.1,0.2,0.7791666666666667,0.75,0.8393351800554016,0.792156862745098,0.7789990663508206
linear,5.0,0.3,0.1,0.7791666666666667,0.7512437810945274,0.8365650969529086,0.7916120576671036,0.7790067824597412
linear,4.0,0.25,0.15,0.7805555555555556,0.7556675062972292,0.8310249307479224,0.7915567282321899,0.7804149723377496
linear,4.0,0.3,0.2,0.7777777777777778,0.7481481481481481,0.8393351800554016,0.7911227154046996,0.7776063086906535
linear,7.0,0.1,0.15,0.7777777777777778,0.749379652605459,0.8365650969529086,0.7905759162303665,0.7776140247995741
linear,5.0,0.3,0.2,0.7777777777777778,0.749379652605459,0.8365650969529086,0.7905759162303665,0.7776140247995741
linear,8.0,0.1,0.15,0.7777777777777778,0.749379652605459,0.8365650969529086,0.7905759162303665,0.7776140247995741
linear,6.0,0.1,0.15,0.7777777777777778,0.749379652605459,0.8365650969529086,0.7905759162303665,0.7776140247995741
linear,4.0,0.15,0.2,0.7777777777777778,0.7506234413965087,0.8337950138504155,0.7900262467191601,0.7776217409084947
rbf,4.0,0.1,0.3,0.7777777777777778,0.7506234413965087,0.8337950138504155,0.7900262467191601,0.7776217409084947
linear,6.0,0.3,0.2,0.7777777777777778,0.7506234413965087,0.8337950138504155,0.7900262467191601,0.7776217409084947
rbf,4.0,0.1,0.25,0.7777777777777778,0.7506234413965087,0.8337950138504155,0.7900262467191601,0.7776217409084947
